memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,productName,marketName,stageName
AT,Austria,14/12/2015,20/12/2015,25,"€162,00",TONNES,Milling wheat,Wien,Departure from silo - after some storage - on truck or other transport means
AT,Austria,14/12/2015,20/12/2015,25,"€138,50",TONNES,Feed barley,Wien,Departure from silo - after some storage - on truck or other transport means
BE,Belgium,14/12/2015,20/12/2015,25,"€168,00",TONNES,Feed wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,14/12/2015,20/12/2015,25,"€176,00",TONNES,Maize,Brussel - Bruxelles,Departure from farm or from production area - on truck or other transport means
BE,Belgium,14/12/2015,20/12/2015,25,"€176,00",TONNES,Milling wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,14/12/2015,20/12/2015,25,"€170,00",TONNES,Feed oats,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,14/12/2015,20/12/2015,25,"€165,00",TONNES,Feed barley,Antwerpen,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,14/12/2015,20/12/2015,25,"€138,05",TONNES,Maize,Pleven,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,14/12/2015,20/12/2015,25,"€155,95",TONNES,Milling wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
HR,Croatia,14/12/2015,20/12/2015,25,"€167,46",TONNES,Milling wheat,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
HR,Croatia,14/12/2015,20/12/2015,25,"€142,60",TONNES,Maize,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
CZ,Czechia,14/12/2015,20/12/2015,25,"€156,38",TONNES,Milling wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
CZ,Czechia,14/12/2015,20/12/2015,25,"€156,40",TONNES,Milling wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
EE,Estonia,14/12/2015,20/12/2015,25,"€147,32",TONNES,Milling wheat,Talli,Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,14/12/2015,20/12/2015,25,"€146,50",TONNES,Malting barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,14/12/2015,20/12/2015,25,"€134,50",TONNES,Feed barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,14/12/2015,20/12/2015,25,"€137,00",TONNES,Feed oats,Seinäjoki,Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,14/12/2015,20/12/2015,25,"€163,00",TONNES,Milling wheat,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
