memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,30/11/2015,06/12/2015,49,"€134,76",100 KG,Average S + E
AT,Austria,30/11/2015,06/12/2015,49,"€139,10",100 KG,S
AT,Austria,30/11/2015,06/12/2015,49,"€126,45",100 KG,E
BE,Belgium,30/11/2015,06/12/2015,49,"€108,00",100 KG,E
BE,Belgium,30/11/2015,06/12/2015,49,"€115,70",100 KG,Average S + E
BE,Belgium,30/11/2015,06/12/2015,49,"€28,00",P,Piglet
BE,Belgium,30/11/2015,06/12/2015,49,"€117,10",100 KG,S
BG,Bulgaria,30/11/2015,06/12/2015,49,"€162,08",100 KG,E
BG,Bulgaria,30/11/2015,06/12/2015,49,"€162,08",100 KG,Average S + E
HR,Croatia,30/11/2015,06/12/2015,49,"€138,71",100 KG,S
HR,Croatia,30/11/2015,06/12/2015,49,"€42,44",P,Piglet
HR,Croatia,30/11/2015,06/12/2015,49,"€136,90",100 KG,Average S + E
HR,Croatia,30/11/2015,06/12/2015,49,"€135,83",100 KG,E
CY,Cyprus,30/11/2015,06/12/2015,49,"€157,98",100 KG,Average S + E
CY,Cyprus,30/11/2015,06/12/2015,49,"€157,98",100 KG,E
CZ,Czechia,30/11/2015,06/12/2015,49,"€134,83",100 KG,Average S + E
CZ,Czechia,30/11/2015,06/12/2015,49,"€133,63",100 KG,E
CZ,Czechia,30/11/2015,06/12/2015,49,"€137,18",100 KG,S
CZ,Czechia,30/11/2015,06/12/2015,49,"€42,62",P,Piglet
DK,Denmark,30/11/2015,06/12/2015,49,"€127,97",100 KG,Average S + E
DK,Denmark,30/11/2015,06/12/2015,49,"€37,67",P,Piglet
DK,Denmark,30/11/2015,06/12/2015,49,"€124,41",100 KG,E
DK,Denmark,30/11/2015,06/12/2015,49,"€130,31",100 KG,S
EU+UK,EU + UK,30/11/2015,06/12/2015,49,"€129,28",100 KG,S
EU+UK,EU + UK,30/11/2015,06/12/2015,49,"€128,09",100 KG,Average S + E
EU+UK,EU + UK,30/11/2015,06/12/2015,49,"€126,32",100 KG,E
EU+UK,EU + UK,30/11/2015,06/12/2015,49,"€154,43",100 KG,R
EU+UK,EU + UK,30/11/2015,06/12/2015,49,"€32,91",P,Piglet
EE,Estonia,30/11/2015,06/12/2015,49,"€147,82",100 KG,S
EE,Estonia,30/11/2015,06/12/2015,49,"€106,95",100 KG,R
EE,Estonia,30/11/2015,06/12/2015,49,"€143,04",100 KG,E
EE,Estonia,30/11/2015,06/12/2015,49,"€145,54",100 KG,Average S + E
EE,Estonia,30/11/2015,06/12/2015,49,"€25,10",P,Piglet
EU,European Union,30/11/2015,06/12/2015,49,"€127,07",100 KG,S
EU,European Union,30/11/2015,06/12/2015,49,"€126,42",100 KG,Average S + E
EU,European Union,30/11/2015,06/12/2015,49,"€125,44",100 KG,E
EU,European Union,30/11/2015,06/12/2015,49,"€32,12",P,Piglet
EU,European Union,30/11/2015,06/12/2015,49,"€154,42",100 KG,R
FI,Finland,30/11/2015,06/12/2015,49,"€149,69",100 KG,Average S + E
FI,Finland,30/11/2015,06/12/2015,49,"€145,61",100 KG,E
FI,Finland,30/11/2015,06/12/2015,49,"€42,99",P,Piglet
FI,Finland,30/11/2015,06/12/2015,49,"€107,92",100 KG,R
FI,Finland,30/11/2015,06/12/2015,49,"€152,49",100 KG,S
FR,France,30/11/2015,06/12/2015,49,"€125,35",100 KG,Average S + E
FR,France,30/11/2015,06/12/2015,49,"€119,00",100 KG,E
FR,France,30/11/2015,06/12/2015,49,"€23,60",P,Piglet
FR,France,30/11/2015,06/12/2015,49,"€128,00",100 KG,S
DE,Germany,30/11/2015,06/12/2015,49,"€130,34",100 KG,Average S + E
DE,Germany,30/11/2015,06/12/2015,49,"€128,62",100 KG,E
DE,Germany,30/11/2015,06/12/2015,49,"€34,60",P,Piglet
DE,Germany,30/11/2015,06/12/2015,49,"€132,31",100 KG,S
EL,Greece,30/11/2015,06/12/2015,49,"€169,56",100 KG,Average S + E
EL,Greece,30/11/2015,06/12/2015,49,"€169,56",100 KG,E
EL,Greece,30/11/2015,06/12/2015,49,"€169,56",100 KG,S
HU,Hungary,30/11/2015,06/12/2015,49,"€129,67",100 KG,Average S + E
HU,Hungary,30/11/2015,06/12/2015,49,"€131,41",100 KG,S
HU,Hungary,30/11/2015,06/12/2015,49,"€24,49",P,Piglet
HU,Hungary,30/11/2015,06/12/2015,49,"€128,42",100 KG,E
IE,Ireland,30/11/2015,06/12/2015,49,"€136,45",100 KG,E
IE,Ireland,30/11/2015,06/12/2015,49,"€136,70",100 KG,Average S + E
IE,Ireland,30/11/2015,06/12/2015,49,"€137,40",100 KG,S
IT,Italy,30/11/2015,06/12/2015,49,"€60,48",P,Piglet
IT,Italy,30/11/2015,06/12/2015,49,"€134,10",100 KG,E
IT,Italy,30/11/2015,06/12/2015,49,"€134,10",100 KG,Average S + E
IT,Italy,30/11/2015,06/12/2015,49,"€155,01",100 KG,R
LV,Latvia,30/11/2015,06/12/2015,49,"€98,68",100 KG,R
LV,Latvia,30/11/2015,06/12/2015,49,"€120,66",100 KG,E
LV,Latvia,30/11/2015,06/12/2015,49,"€123,57",100 KG,Average S + E
LV,Latvia,30/11/2015,06/12/2015,49,"€126,09",100 KG,S
LT,Lithuania,30/11/2015,06/12/2015,49,"€125,42",100 KG,E
LT,Lithuania,30/11/2015,06/12/2015,49,"€128,13",100 KG,S
LT,Lithuania,30/11/2015,06/12/2015,49,"€113,47",100 KG,R
LT,Lithuania,30/11/2015,06/12/2015,49,"€126,97",100 KG,Average S + E
LU,Luxembourg,30/11/2015,06/12/2015,49,"€130,95",100 KG,Average S + E
LU,Luxembourg,30/11/2015,06/12/2015,49,"€125,40",100 KG,E
LU,Luxembourg,30/11/2015,06/12/2015,49,"€98,00",100 KG,R
LU,Luxembourg,30/11/2015,06/12/2015,49,"€35,38",P,Piglet
LU,Luxembourg,30/11/2015,06/12/2015,49,"€133,60",100 KG,S
MT,Malta,30/11/2015,06/12/2015,49,"€228,00",100 KG,Average S + E
MT,Malta,30/11/2015,06/12/2015,49,"€228,00",100 KG,E
